path,class,source,generator,split
/content/Image-forensics/data/raw/real/00156.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01349.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/02142.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/01810.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/03358.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01716.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/04548.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/01601.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_03024.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/01448.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/01503.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/04438.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/02681.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01773.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_03513.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_03293.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_04658.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/04596.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/01060.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_02710.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_00862.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01383.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_02301.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_00653.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/01611.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_03936.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_03471.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01917.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/04310.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_02040.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/04298.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/00871.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_04272.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/01815.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/04554.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01258.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/05303.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/05813.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_00748.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/01865.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/01768.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/01895.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/05873.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/00777.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/04037.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/ai/stable_diffusion/sd_01873.png,AI_GENERATED,ai,stable_diffusion,train
/content/Image-forensics/data/raw/real/04508.JPEG,REAL,real,,train
/content/Image-forensics/data/raw/real/00883.JPEG,REAL,real,,train
